NO.;JUDUL BUKU;PENGARANG;PENERBIT;TEMPAT TERBIT;TAHUN;ISBN;JILID;EDISI;CET.;JUMLAH HAL.;RAK BUKU;JUMLAH BUKU;TINGGI BUKU             (cm);NOMOR PANGGIL;INISIAL;PEROLEHAN;HARGA;KET;;;No. Induk;;;;;
1750;POKOK-POKOK HUKUM LINGKUNGAN NASIONAL;RACHMADI USMAN, S.H.;CV. AKADEMIKA PRESSINDO;Jakarta;1993;979-8035-30-5;;1.,;1.-;278;1G;;23;345.05;USM;;;ADA;;n;;;;;;
1751;POKOK-POKOK HUKUM PASAR MODAL;"Drs. C.S.T. KANSIL, S.H. ; CHRISTINE S.T. KANSIL, S.H.";PUSTAKA SINAR HARAPAN;Jakarta;2004;;;;;;7E;;;;;;;;;;;;;;;
1752;POKOK-POKOK HUKUM PERDATA;Prof. SUBEKTI, S.H.;PT. INTERMASA;Jakarta;1995;979-8114-31-0;;;27.-;244;3D;;20,5;;;;;ADA;;;;;;;;
1753;POKOK-POKOK HUKUM PERDATA INDONESIA;P.N.H. SIMANJUNTAK, S.H.;DJAMBATAN;Jakarta;2009;978-979-428-677-7;;rev.,;4.-;xvii, 387;3C;2;21;346;SIM;S;;ADA;;;;;;;;
1754;POKOK-POKOK HUKUM PERINDUSTRIAN DI INDONESIA;Drs. C.S.T. KANSIL, S.H.;IND-HILL CO.;Jakarta;1986;;;;1.-;x, 175;3E;;20,5;340;KAN;;;ADA;;;;;;;;
1755;POKOK-POKOK HUKUM PERKAPALAN;DJOHARI SANTOSA;UII PRESS;Yogyakarta;2004;;;;;;6E;;;;;;;;;;;;;;;
1756;POKOK-POKOK KEPEGAWAIAN // EDISI LENGKAP 2007;;FOKUSMEDIA;Bandung;2007;;;;;;7D;;;;;;;;;;;;;;;
1757;POKOK-POKOK PENGETAHUAN HUKUM DAGANG INDONESIA;"Prof. Drs. C.S.T KANSIL ; CHRISTINE S.T. KANSIL, S.H., M.H,";Sinar Grafika;Jakarta;2004;;;;;;3F;;;346.7;KAN;;;;;;;;;;;
1758;POKOK-POKOK PIKIRAN STRATEGI PEMBANGUNAN PEDESAAN;Drs. A. DJ. NIHIN;--;Palangka Raya;1990;;;;;;5D;;;;;;;;;;;;;;;
1759;POKOK-POKOK PROGRAM KORPRI TAHUN 1994 / 1999;;SUB UNIT KORPRI ABRI - POLRI;Jakarta;1994;;;;;;4D;;;;;;;;;;;;;;;
1760;POKOK-POKOK SOSIOLOGI HUKUM;Prof. Dr. SOERJONO SOEKANTO, S.H., M.A.;PT. Rajagrafindo Persada;Jakarta;1988;;;;;;6A;;;340.115;;;;;;;;;;;;
1761;POKOK-POKOK SOSIOLOGI HUKUM;Prof. Dr. SOERJONO SOEKANTO, S.H., M.A.;PT. Rajagrafindo Persada;Jakarta;1994;;;;;;6A;;;340.115;;;;;;;;;;;;
1762;POKOK-POKOK SOSIOLOGI HUKUM;Prof. Dr. SOERJONO SOEKANTO, S.H., M.A.;PT. Rajagrafindo Persada;Jakarta;2004;;;1.,;14.-;;6A;;;340.115;;;;;;;;;;;;
1763;POKOK-POKOK SOSIOLOGI HUKUM;Prof. Dr. SOERJONO SOEKANTO, S.H., M.A.;PT. Rajagrafindo Persada;Jakarta;2010;;;1.,;19.-;;6A;;;340.115;;;;;;;;;;;;
1764;POLA MEMBINA RASA KEADILAN MASYARAKAT;M. SUTADI, S.H. - BAMBANG WALUYO, S.H., dkk.;PUSDIKLAT KEJAGUNG R.I.;Jakarta;1991;;;;;63;1B;3;22;347.7;SUT;S;;ADA;;n;;;;;;
1765;POLISI DAN LALU LINTAS (ANALISIS MENURUT SOSIOLOGI HUKUM);Prof. Dr. SOERJONO SOEKANTO, S.H., M.A.;CV. MANDAR MAJU;Bandung;1990;;;;;;6E;;;;;;;;;;;;;;;
1766;POLITIK HUKUM PIDANA;M. HAMDAN, S.H., M.H.;PT. Rajagrafindo Persada;Jakarta;1997;979-421-627-5;;1.,;1.-;xii, 158;6E;;21;345;HAM;;;ADA;;n;;;;;;
1767;POLRI SEBAGAI PENYIDIK DALAM PENEGAKAN HUKUM;DJOKO PRAKOSO, S.H.;PT. BINA AKSARA;Jakarta;1987;;;;1.-;viii, 198;2C;;20,5;345.05;PRA;B;3.700;ADA;;n;;;;;;
1768;PORNOGRAFI & PORNOAKSI DITINJAU DARI HUKUM ISLAM;NENG DJUBAEDAH, S.H., M.H.;Kencana;Bogor;2004;979-3465-08-5;;;2.-;xviii, 386;1E;;20,5;297.414;DJU;S;;ADA;;n;;;;;;
1769;PORNOGRAFI MEDIA MASSA (DALAM KONSTRUKSI PEREMPUAN LAJANG PEKERJA PROFESSIONAL DI JAKARTA;ERDHY FANGGIDAE, M.Si.;YAYASAN EUKALYPTUS;Jakarta;2006;979-25-6210-9;;;;194;2A;;20,5;345;FAN;B;95.000;ADA;;n;;;;;;
;Posisi Hukum Rumah Penyimpanan Benda Sitaan Negara (RUPBASAN) Dalam Sistem Peradilan Pidana (Akuisisi Rupbasan Dalam Struktur Organisasi Kejaksaan RI);Suryadi Agoes, S.H., Cahya Agus Satra Nugraha, S.AP., BD. Sri Marsita, S.H., dkk.;Puslitbang Kejagung;Jakarta;2018;;;;;;;;;2.90;AGO;S;;ada;;;;;;;;
1770;POTENSI KEJAHATAN KORUPSI DI INDONESIA;BAMBANG PURNOMO, S.H.;PT. BINA AKSARA;Jakarta;1983;;;;1.-;79;2B;;20,5;345;PUR;;;ADA;;n;;;;;;
;Plea bargaining : Implemenyasi dan tantangan dalam sistem peradilan pidana modern;Dr.Rudi margono,SH.Mhum;Yayasan putra adi dharma;Yogyakarta;2024;989-634-7004-71-0;;;;;2A;;;345;MAR;s;;ada;;;;;;;;
1771;PRAKTEK HUKUM PERATURAN PERUNDANGAN DI INDONESIA;Drs. C.S.T. KANSIL, S.H.;PENERBIT ERLANGGA;Jakarta;1983;;;;;x, 198;2C;;23;340;KAN;;;ADA;;n;;;;;;
1772;PRAKTEK JUAL BELI TANAH;EFFENDI PERANGIN, S.H.;PT. Rajagrafindo Persada;Jakarta;1994;979-421-099-4;;1.,;3.-;xii, 150;3E;;21;346.043 63;PER;S;;ADA;;;;;;;;
1773;PRAKTEK PENGGUNAAN TANAH SEBAGAI JAMINAN KREDIT;EFFENDI PERANGIN, S.H.;CV. RAJAWALI PERS;Jakarta;1991;979-421-100-1;;1.,;2.-;xviii, 166;3E;;21;346.043 64;PER;;;ADA;;;;;;;;
1774;PRAKTEK PERMOHONAN HAK ATAS TANAH;EFFENDI PERANGIN, S.H.;CV. RAJAWALI PERS;Jakarta;1991;979-421-101-x;;1.,;2.-;xiv, 184;3E;;21;346.043 2;PER;;;ADA;;;;;;;;
1775;PRAKTEK-PRAKTEK PERADILAN TATA USAHA NEGARA;O.C. KALIGIS & ASSOCIATES;PT. ALUMNI;Bandung;2000;979-414-124-0;3;;1,-;xii, 520;3A;;20,5;342;KAL;;;ADA;;;;;;;;
1776;PRAKTIK HUKUM ACARA PERDATA // CONTOH BENTUK-BENTUK SURAT DI BIDANG KEPENGACARAAN PERDATA;R. SOEROSO, S.H.;Sinar Grafika;Jakarta;2011;978-979-007-065-3;;2.,;5.-;xxviii, 366;3B;;21;347;SOE;S;;ADA;;;;;;;;
1777;PRAKTIK HUKUM ACARA PERDATA : TATA CARA DAN PROSES PERSIDANGAN;R. SOEROSO, S.H.;Sinar Grafika;Jakarta;2009;978-979-007-311-1;;2.,;1,-;xx, 292;3B;;23;345;SOE;;;ADA;;;;;;;;
1778;PRAKTIK HUKUM ACARA PERDATA : TATA CARA DAN PROSES PERSIDANGAN;R. SOEROSO, S.H.;Sinar Grafika;Jakarta;2011;978-979-007-311-1;;2.,;2.-;xx, 292;3B;;23;345;SOE;;; ;;;;;;;;
1779;PRAKTIK PERADILAN PERDATA DAN ALTERNATIF PENYELESAIAN SENGKETA;SOPHAR MARU HUTAGALUNG, S.H., M.H.;Sinar Grafika;Jakarta;2012;978-979-007-457-6;;;1.-;xvi, 476;3C;;23;346;HUT;S;;ADA;;;;;;;;
1780;PRAKTIK PERADILAN PERDATA : TEKNIS MENANGANI PERKARA DI PENGADILAN;SOPHAR MARU HUTAGALUNG, S.H., M.H.;Sinar Grafika;Jakarta;2011;978-979-007-359-3;;1.,;2.-;xii, 258;3C;;23;347.07;HUT;S;;ADA;;;;;;;;
1781;PRAKTIK TEBANG PILIH PERKARA KORUPSI;Dr. O.C. KALIGIS, S.H., M.H.;PT. ALUMNI;Bandung;2008;979-41-4052-X;1;;1.-;viii, 366;2B;1;20,5;345;KAL;S;,;ADA;;n;;;;;;
1782;PRAKTIK TEBANG PILIH PERKARA KORUPSI;Dr. O.C. KALIGIS, S.H., M.H.;PT. ALUMNI;Bandung;2008;979-41-4053-8;2;1.,;1.-;viii, 776;2B;2;20;345;KAL;S;;ADA;;n;;;;;;
1783;PRAPERADILAN DAN PENGGABUNGAN PERKARA GUGATAN GANTI KERUGIAN DALAM KUHAP;R. SOEPARMONO, S.H.;CV. MANDAR MAJU;Bandung;2003;979-538-242-X;;;1,-;ix, 258;3B;;21;347;SOE;;;ADA;;;;;;;;
1784;PRINSIP-PRINSIP MANAJEMEN;GEORGE R. TERRY;BUMI AKSARA;Jakarta;2003;;;;;;7F;;;;;;;;;;;;;;;
1785;PRINSIP-PRINSIP UNIDROIT//SEBAGAI SUMBER HUKUM KONTRAK DAN PENYELESAIAN SENGKETA BISNIS INTERNASIONAL;TARYANA SOENANDAR, S.H., M.H.;Sinar Grafika;Jakarta;2004;979-3421-77-0;;;1.-;viii, 166;3F;;23;346.2;SOE;;;ADA;;;;;;;;
1786;Problematika Kejaksaan Dalam Melakukan Eksekusi Terhadap Terpidana Yang Berada Diluar Tahanan;Hastuti Sri, S.H.;Puslitbang Kejagung R.I.;Jakarta;2014;978-602-7744-68-4;;;;vi + 187;6B;;21;345;HAS;S;;;;;;;;;;
1787;PROGRAM REDISTRIBUSI TANAH DI INDONESIA//SUATU SARANA KE ARAH PEMECAHAN MASALAH PENGUASAAN TANAH DAN PEMILIKAN TANAH ;ARIE SUKANTI HUTAGALUNG, S.H., MLI.;CV. RAJAWALI PERS;Jakarta;1985;;;;1.-;xii, 107;3E;;20,5;346.43;HUT;;;ADA;;;;;;;;
1788;PROSEDUR DAN TATA CARA MEMPEROLEH HAK KEKAYAAN INTELEKTUAL DI BIDANG HAK CIPTA PATEN DAN MEREK;SENTOSA SEMBIRING, S.H., M.H.;CV. YRAMA WIDYA;Bandung;2002;;;;;;7B;;;;;;;;;;;;;;;
1789;PROSEDUR PENDAFTARAN TANAH//TENTANG HAK MILIK, HAK SEWA GUNA DAN HAK GUNA BANGUNAN;"SOEJONO, S.H., M.H. ; H. ABDURRAHMAN, S.H., M.H.";PT. Rineka Cipta;Jakarta;2003;979-518-630-2;;;2,-;viii, 123;3E;;20,5;346.43;SOE;;;ADA;;;;;;;;
1790;PROSES PENANGANAN PERKARA PIDANA;DR.LEDEN MARPAUNG,SH;Sinar Grafika;Jakarta;2011;978-979-007-290-9;;2.,;2.-;418;2D;2;21;345.07;MAR;;;ADA;;n;;;;;;
1791;PROSES PERADILAN SOEHARTO;DJOKOMOELYO, S.H., APU.;PT. RAGA MUKTI MAKMUR;Jakarta;2001;;;;;;7C;3;;;;;;;;;;;;;;
1792;PROSPEK HUKUM PIDANA INDONESIA DALAM MEWUJUDKAN RASA KEADILAN MASYARAKAT 1;Dr. H.R. ABDUSSALAM, SIK, S.H., M.H.;RESTU AGUNG;Jakarta;2006;979-8492-21-8;;;;ix, 833;2C;;21;345;ABD;B;;ADA;;n;;;;;;
1793;PROSPEK OTONOMI DAERAH DI NEGARA REPUBLIK INDONESIA;Drs. JOSEF RIWU KAHO, MPA.;PT. Rajagrafindo Persada;Jakarta;2003;;;;;;10B;;;;;;;;;;;;;;;
;Pudarnya Pesona Cleopatra;Habiburrahman El Shirazy;Penerbit Republika;Jakarta;2007;979-3604-00-x;;;9.-;;10C;1;;820;SHI;;;;;;;;;;;
1794;PUDING GELAS;BARA PATTIRADJAWANE;PT. PRIMAMEDIA PUSTAKA;Jakarta;2005;;;;;;10D;;;;;;;;;;;;;;;
1795;PUTUSAN HAKIM DALAM HUKUM ACARA PERDATA INDONESIA // TEORI, PRAKTIK, TEKNIK MEMBUAT DAN PERMASALAHANNYA;Dr. LILIK MULYADI, S.H., M.H.;PT. Citra Aditya Bakti;Bandung;2009;978-979-414-974-4;;;1.-;xxvi, 616;3B;3;21;347.07;MUL;S;;ADA;;;;;;;;
1796;PUTUSAN HAKIM DALAM HUKUM ACARA PIDANA // TEORI, PRAKTIK, TEKNIK PENYUSUNAN DAN PERMASALAHANNYA;Dr. LILIK MULYADI, S.H., M.H.;PT. Citra Aditya Bakti;Bandung;2007;979-414-954-3;;;1.-;xv, 426;2F;;20,5;345;MUL;;;ada;;n;;;;;;
1797;PUTUSAN MAHKAMAH KONSTITUSI;dihimpun oleh : EFI LAILA KHOLIS, S.H., M.H.;PENA MULTI MEDIA;Depok;2008;;;;;;4D;;;;;;;ada;;;;;;;;
1798;Putusan Majelis Permusyawaratan Rakyat Republik Indonesia | Sidang Tahunan MPR-R.I. 7-18 Agustus 2000;--;Sekretariat Jenderal MPR RI;Jakarta;2000;;;;;;5F;;;;;;;ada;;;;;;;;
*;HURUF R;;;;;;;;;;;;;;;;;ada;;;;;;;;
1799;RAGAM DESAIN PAGAR TANAMAN;"BAYU ISMAYA ; DESI SARASWATI";PENEBAR SWADAYA;Jakarta;2006;;;;;;10A;;;;;;;ada;;;;;;;;
1800;RAHASIA ENERGI IBADAH UNTUK PENYEMBUHAN // PENYEMBUHAN ISLAMI DENGAN METODE RELIGIOPSIKONEUROIMUNOLOGI;MUSTAMIR, S.Ked.;PENERBIT LINGKARAN;Yogyakarta;2007;;;;;;10C;;;;;;;ada;;;;;;;;
1801;RAHASIA ILMU TASHAWWUF;UST. LABIB Mz.;BINTANG USAHA JAYA;Surabaya;2001;;;;1.-;286;1E;;20,5;297.5.53;LAB;;;ada;y;;;;;;;
1802;RALAT ATAS KESALAHAN CETAK DALAM BUKU DOKUMENTASI PEMILIHAN UMUM 1997;--;LEMBAGA PEMILIHAN UMUM;Jakarta;1997;;;;;;5E;;;;;;;ada;;;;;;;;
1803;RAMALAN PRABU JAYABAYA // MENGUNGKAP TANDA-TANDA ZAMAN;Dr. SINDUNG MARWOTO, M.A.;PANJI PUSTAKA;Yogyakarta;2007;;;;;;10C;;;;;;;;;;;;;;;
1804;RAMBUTAN // KOMODITAS UNGGULAN DAN PROSPEK BISNIS;"H. RAHMAT RUKMANA ; Hj. YUYUN YUNIARSIH OESMAN, S.P., M.B.A., M.M.";PENERBIT KANISIUS;Yogyakarta;2005;;;;;;10E;;;;;;;;;;;;;;;
1805;RAMBUT ANDA // MASALAH, PERAWATAN, DAN PENATAANNYA;KUSUMADEWI;PT. Gramedia Pustaka Utama;Jakarta;2003;;;;;;10A;;;;;;;;;;;;;;;
1806;RAMUAN TRADISIONAL UNTUK KESEHATAN ANAK;Drs. BAMBANG MURSITO, Apt., M.Si.;PENEBAR SWADAYA;Jakarta;2004;;;;;;10D;;;;;;;;;;;;;;;
1807;RAMUAN TRADISIONAL UNTUK KESEHATAN PENYAKIT MALARIA // SERI AGRISEHAT;Drs. BAMBANG MURSITO, Apt., M.Si.;PENEBAR SWADAYA;Jakarta;2002;;;;;;10D;;;;;;;;;;;;;;;
1808;REFERENDUM;Drs. C.S.T. KANSIL, S.H.;ERLANGGA;Jakarta;1986;;;;;;4D;;;;;;;ada;;;;;;;;
1809;REFLEKSI KETERPADUAN PENYIDIKAN, PENUNTUTAN DAN PERADILAN DALAM PENANGANAN PERKARA;Drs. R. ABDUSSALAM, S.H., M.H. - ZEN ZANIBAR MZ, S.H., M.H.;DINAS HUKUM POLRI;Jakarta;1998;979-8890-05-1;;;1.-;xxi, 968;2E;;21,5;345;ABD;;;ada;;n;;;;;;
1810;REFLEKSI SOSIOLOGI HUKUM;Dr. Saifullah, S.H., M.Hum.;PT. Refika Aditama;Bandung;2010;;;;;;6C;;;301.16;SAI;;;ada;;;;;;;;
;Reformasi Kejaksaan Dalam Sistem Hukum Nasional;Dr. Jan S. Maringka;Sinar Grafika;Jakarta;2018;978-979-007-728-7;;1.,;2.-;;6B;;;347.014;MAR;s;;ada;;;;;;;;
1811;Regulasi Bagi Perkembangan Perekonomian Daerah Dalam Kerangka Kebijakan Fiskal Nasional;Agustin Teras Narang, S.H.;The ATN Centre;Jakarta;2004;;;;;;7E;;;351;TER;;;ada;;;;;;;;
1812;REKONSEPTUALISASI HUKUM ADAT KONTEMPORER;Prof. Dr. H.R. Otje Salman Soemadiningrat, S.H.;Alumni;Bandung;2002;979-414-346-4;;1.,;1,-;xiv, 228;3A;3;20,5;347;SOE;B;;ada;;;;;;;;
1813;Rencana Kerja Dan Program Kerja Kejaksaan R.I. Tahun 1987/1988;--;Kejaksaan R.I.;Jakarta;1987;;;;;;6F;2;;;;;;ada;;;;;;;;
1814;Rencana Kerja Dan Program Kerja Kejaksaan R.I. Tahun 1988/1989;--;Kejaksaan R.I.;Jakarta;1988;;;;;;6F;;;;;;;ada;;;;;;;;
1815;Rencana Kerja Dan Program Kerja Kejaksaan R.I. Tahun 1989/1990;--;Kejaksaan R.I.;Jakarta;1989;;;;;;6F;4;;;;;;ada;;;;;;;;
1816;Rencana Kerja Dan Program Kerja Kejaksaan R.I. Tahun 1991/1992;--;Kejaksaan R.I.;Jakarta;1991;;;;;;6F;;;;KEJ;S;;ada;;;;;;;;
1817;RENCANA PEMBANGUNAN LIMA TAHUN KEENAM DAERAH PROPINSI DAERAH TINGKAT I KALIMANTAN TENGAH TAHUN 1994/1995 - 1998/1999;--;Pemerintah Prop. Dati I Kalteng;Palangka Raya;1994;;1;;;;5G;;;;;;;ada;;;;;;;;
1818;RENCANA PEMBANGUNAN LIMA TAHUN KEENAM DAERAH PROPINSI DAERAH TINGKAT I KALIMANTAN TENGAH TAHUN 1994/1995 - 1998/1999;--;Pemerintah Prop. Dati I Kalteng;Palangka Raya;1994;;2;;;;5G;;;;;;;ada;;;;;;;;
1819;RENCANA PEMBANGUNAN LIMA TAHUN KEENAM DAERAH PROPINSI DAERAH TINGKAT I KALIMANTAN TENGAH TAHUN 1994/1995 - 1998/1999;--;Pemerintah Prop. Dati I Kalteng;Palangka Raya;1994;;3;;;;5G;;;;;;;;;;;;;;;
1820;RENCANA PEMBANGUNAN LIMA TAHUN KEENAM DAERAH PROPINSI DAERAH TINGKAT I KALIMANTAN TENGAH TAHUN 1994/1995 - 1998/1999;--;Pemerintah Prop. Dati I Kalteng;Palangka Raya;1994;;4;;;;5G;;;;;;;ada;;;;;;;;
1821;RENCANA PEMBANGUNAN LIMA TAHUN KEENAM DAERAH PROPINSI DAERAH TINGKAT I KALIMANTAN TENGAH TAHUN 1994/1995 - 1998/1999;--;Pemerintah Prop. Dati I Kalteng;Palangka Raya;1994;;5;;;;5G;;;;;;;ada;;;;;;;;
1822;RENCANA PEMBANGUNAN LIMA TAHUN KEENAM DAERAH PROPINSI DAERAH TINGKAT I KALIMANTAN TENGAH TAHUN 1994/1995 - 1998/1999;--;Pemerintah Prop. Dati I Kalteng;Palangka Raya;1994;;6;;;;5G;;;;;;;ada;;;;;;;;
1823;RENCANA PEMBANGUNAN LIMA TAHUN KELIMA KEJAKSAAN R.I. (1989/1990 ~ 1993/1994);--;Kejaksaan Agung R.I.;Jakarta;1989;;;;;;5B;5;;;;;;ada;;;;;;;;
1824;RENCANA PEMBANGUNAN LIMA TAHUN KE ENAM KEJAKSAAN R.I. (1994/1995 ~ 1998/1999);--;Kejaksaan Agung R.I.;Jakarta;1994;;;;;;5B;2;;;;;;ada;;;;;;;;
1825;Resume Putusan Pengadilan Pajak PPH;Sularno;Indeks;Jakarta;2010;;;;;;5F;;;336.2;SUL;S;;ada;;;;;;;;
1826;Resume Putusan Pengadilan Pajak PPN;Sularno;Indeks;Jakarta;2010;;;;;;5F;;;336;SUL;S;;ada;;;;;;;;
1827;RIAS PENGANTIN;"Chenny Han; Isye Soentoro";PT. Gramedia Pustaka Utama;Jakarta;2004;;;;;;10C;2;;376;HAN;;;ada;;;;;;;;
1828;RIB / HIR DENGAN PENJELASAN;R. Soesilo;Politea;Bogor;1995;;;;;;3D;;;347,7;SOE;;;ada;;;;;;;;
1829;Ringkasan Ihya Ulumiddin;Imam Al Ghazali;Gitamedia Press;Surabaya;2003;;;;1;;1E;;;;;;;ada;;;;;;;;
1830;Risalah Sidang Badan Penyelidik Usaha-usaha Persiapan Kemerdekaan Indonesia (BPUPKI) // Panitia Persiapan Kemerdekaan Indonesia (PPKI) 28 Mei 1945 - 22 Agustus 1945;--;Sekretariat Negara R.I.;Jakarta;1998;;;;;;10B;;;;;;;ada;;;;;;;;
;Risiko Bisnis Pengelolaan BUMN & Tindak Pidana Korupsi;Dr. Setyo Utomo, S.H., M.Hum., M.Kn.;PT. Sofmedia;Jakarta;2014;978-602-860-445-1;;;;;6B;;;793;UTO;s;;ada;;;;;;;;
1831;Risk-Based Audit (Dalam Pemeriksaan Perkreditan Bank Umum);Z. Dunil;PT. Indeks Kelompok Gramedia;Jakarta;2005;979-683-753-6;;;;338;1B;;25;332;DUN;;;ada;;n;;;;;;
;Road Map Reformasi Birokrasi Kejaksaan RI Tahun 2015-2019;--;Kejaksaan RI;Jakarta;2016;;;;;;6B;1;21;650.04;AGU;s;;ada;;;;;;;;
1832;Ruang Lingkup Permasalahan Eksekusi Bidang Perdata;M. Yahya Harahap, S.H.;Sinar Grafika;Jakarta;2006;979-3421-10-X;;2.,;2,-;xvii, 478;3A;;23;347;HAR;s;;ada;;;;;;;;
1833;Ruang Lingkup Permasalahan Eksekusi Bidang Perdata;M. Yahya Harahap, S.H.;Sinar Grafika;Jakarta;2009;979-3421-10-X;;2.,;4.-;xxxix, 478;3A;;23;347.07;HAR;b;181.450;ada;;;;;;;;
1834;Ruang Lingkup Permasalahan Eksekusi Bidang Perdata;M. Yahya Harahap, S.H.;Sinar Grafika;Jakarta;2010;979-3421-10-X;;2.,;5,-;xxxix, 478;3A;2;23;347.07;HAR;s;;ada;;;;;;;;
1835;Rujukan Peraturan Perundang-undangan Dalam Putusan-putusan Mahkamah Konstitusi // Disusun Dari Himpunan Putusan Mahkamah Konstitusi Jilid 1A & 1B;Tim Redaksi Tata Nusa;PT. Tatanusa;Jakarta;2005;;;;;;5D;;;;;;;;;;;;;;;
1836;Rukun Iman;penyusun : Drs. Rustana Ardiwinata, Drs. H. Hafidh Dasuki, MA., Drs. Harun Al Rasyid, Drs. H.M. Atho Mudzhar, MA.;DEPAG R.I.;Jakarta;1984;;;;;;7A;;;;;;;;;;;;;;;
1837;Rukun Islam;penyusun : Drs. Rustana Ardiwinata, Drs. H. Hafidh Dasuki, MA, Drs. H. Sugandhi, Drs. Muh. Amin.;DEPAG R.I.;Jakarta;1984;;;;;;7A;2;;;;;;;;;;;;;;
1838;Rumah Bergaya Arsitektur Mediterania Dan Cenderung Klasik;Mohamad Probo Hindarto, S.T.;Media Pressindo;Yogyakarta;2006;;;;;;10A;;;;;;;;;;;;;;;
1839;Rumah Menawan 2 // Design & Bentuk Rumah Dua Lantai Diatas Lahan Sempit;Agung Kristiawan;Penerbit Kanisius;Yogyakarta;2005;;;;;;10A;;;;;;;;;;;;;;;
1840;Runtuhnya Kerajaan Hindu - Jawa Dan Timbulnya Negara-negara Islam Di Nusantara;Prof. Dr. Slamet Muljana;LKIS Yogyakarta;Yogyakarta;2005;;;;;;10B;;;;;;;;;;;;;;;
1841;Runtuhnya Sekat Perdata Dan Pidana (Studi Peradilan Kasus Kekerasan Terhadap Perempuan);Sulistyowati Irianto & Antonius Cahyadi;Yayasan Obor Indonesia;Jakarta;2008;978-979-461-678-9;;1.,;;382;2A;;24;340.2;IRI;S;;ADA;;n;;;;;;
*;HURUF S;;;;;;;;;;;;;;;;;ada;;;;;;;;
1842;125 TANYA-JAWAB ATURAN WAJIB BERLALU LINTAS // BUKU PINTAR PENGENDARA MOTOR DAN MOBIL (MENGACU PADA PERATURAN LALU LINTAS TERBARU UU NO. 22 THN 2009);Adib Bahari, S.H.;Pustaka Yustisia;Yogyakarta;2010;;;;;;4F;;;;;;;ada;;;;;;;;
1843;160 CONTOH SURAT PERJANJIAN (KONTRAK);"F. Ibrahim AE. ; Nathaniela STG.";Generasi Cerdas;Jakarta;2009;978-979-19845-7-7;;;1.-;268;3F;;23;340;NAT;;;ada;;;;;;;;
1844;SALAH PILIH;Nur ST. Iskandar;Balai Pustaka;Jakarta;1992;;;;;;10C;1;;820;ISK;;;ada;;;;;;;;
1844;SALAH PILIH;Nur ST. Iskandar;Balai Pustaka;Jakarta;2006;;;;;;10C;2;;820;ISK;;;ada;;;;;;;;
1845;Sanksi Pajak Berbasis Penerimaan Negara;Dr. Asep N. Mulyana, S.H., M.Hum.;Aneka Ilmu;Semarang;2014;978-979-070-491-6;;;;;5F;;;336;MUL;S;;ada;;;;;;;;
1846;SANKSI PEMIDANAAN DALAM KONFLIK PERTANAHAN//KEBIJAKAN ALTERNATIF PENYELESAIAN KONFLIK PERTANAHAN DI LUAR KODIFIKASI HUKUM PIDANA;Prof. Dr. H. Hambali Thalib, S.H., M.H.;Kencana;Jakarta;2009;978-979-1486-83-5;;1.,;2.-;x, 304;3E;;23;346.043 2;THA;;;ada;;;;;;;;
1847;SANKSI PERDATA & ADMINISTRATIF TERHADAP NOTARIS SEBAGAI PEJABAT PUBLIK;Dr. Habib Adjie, S.H., M.Hum.;PT. Refika Aditama;Bandung;2009;978-979-1073-15-5;;;2.-;xix, 204;3D;;24;347;ADJ;S;;ada;;;;;;;;
1848;SANUL DACA // PENGALAMAN PRIBADI LETJEN (PUR) SOEGIH ARTO;Soegih Arto;PT. Merdeka Sarana Usaha;Jakarta;1989;;;;;;7C;;;;;;;ada;;;;;;;;
1849;SATU DASAWARSA BARITO UTARA BERSAMA Drs. A. Dj. NIHIN // KUMPULAN PESAN DAN KESAN PEMBANGUNAN 1989-1998;--;PT. Grafika Wangi Kalimantan;Muara Teweh;1998;;;;;;5D;2;;;;;;ada;;;;;;;;
1850;Sayuran // Seri Budi Daya;AAK;Penerbit Kanisius;Yogyakarta;2005;;;;;;10E;;;;;;;ada;;;;;;;;
1851;Segi Hukum Penyelesaian Perselisihan Perburuhan;"Hartono Widodo, S.H.; Judiantoro, S.H.";Rajawali Pers;Jakarta;1992;979-421-201-6;;1.,;2.-;x, 302;3C;;21;344.18;WID;S;;ada;;;;;;;;
1852;Sehat dan Kuat;"dr. Aileen Ludington; dr. Hans Diehl, Dr.H.Sc., M.P.H., C.S.N.";Indonesia Publishing House;Bandung;2011;;;;;;10E;1;;641.1;LUD;;;;;;;;;;;
1853;Sejarah Catur Indonesia;Ds. F.K.N. Harahap;Penerbit Angkasa;Bandung;1986;;;;;;10B;;;344.04;LUD;s;;ada;;;;;;;;
1854;Sejarah Kehutanan Indonesia;disusun oleh : Tim Penyusun Sejarah Kehutanan Indonesia Departemen Kehutanan R.I.;Departemen Kehutanan R.I.;Jakarta;1986;;1;;;;7B;2;;;;;;;;;;;;;;
1855;Sejarah Kehutanan Indonesia;disusun oleh : Tim Penyusun Sejarah Kehutanan Indonesia Departemen Kehutanan R.I.;Departemen Kehutanan R.I.;Jakarta;1986;;02-Mar;;;;7B;2;;;;;;;;;;;;;;
1856;SEJARAH PEMBENTUKAN DAN PERKEMBANGAN HUKUM ISLAM;SYEKH MUHAMMAD ALI AS-SAYIS;AKADEMIKA PRESSINDO;Jakarta;1996;;;;;;7A;;;;;;;;;;;;;;;
